format,filename,bitrate,major_brand,minor_version,compatible_brands,encoder
format,videos/BigBuckBunny0-2pass-1500K.mp4,1526130,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-2pass-3000K.mp4,3022030,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-2pass-7500K.mp4,7525653,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-2pass-750K.mp4,779775,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-2passVbv-1500K.mp4,1473275,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-2passVbv-3000K.mp4,2916852,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-2passVbv-7500K.mp4,7137363,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-2passVbv-750K.mp4,734187,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-abr-1500K.mp4,1625526,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-abr-3000K.mp4,3296045,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-abr-7500K.mp4,8334540,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-abr-750K.mp4,813870,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-abrVbv-1500K.mp4,1343000,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-abrVbv-3000K.mp4,2716710,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-abrVbv-7500K.mp4,7119969,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-abrVbv-750K.mp4,676241,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crf-17.mp4,11328809,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crf-23.mp4,4413695,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crf-29.mp4,1768481,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crf-35.mp4,778405,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-17_1500K.mp4,1438976,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-17_3000K.mp4,2934457,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-17_7500K.mp4,6482826,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-17_750K.mp4,720434,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-23_1500K.mp4,1434902,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-23_3000K.mp4,2559896,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-23_7500K.mp4,4204276,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-23_750K.mp4,714376,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-29_1500K.mp4,1234040,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-29_3000K.mp4,1675726,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-29_7500K.mp4,1757134,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-29_750K.mp4,713984,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-35_1500K.mp4,757632,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-35_3000K.mp4,766668,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-35_7500K.mp4,778423,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-crfVbv-35_750K.mp4,611353,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-qp-17.mp4,16377299,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-qp-23.mp4,6187305,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-qp-29.mp4,2288864,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny0-qp-35.mp4,978602,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-2pass-1500K.mp4,1493914,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-2pass-3000K.mp4,2983848,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-2pass-7500K.mp4,7489632,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-2pass-750K.mp4,747948,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-2passVbv-1500K.mp4,1485510,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-2passVbv-3000K.mp4,2963220,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-2passVbv-7500K.mp4,7361009,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-2passVbv-750K.mp4,743890,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-abr-1500K.mp4,1481872,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-abr-3000K.mp4,2915540,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-abr-7500K.mp4,7138916,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-abr-750K.mp4,741925,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-abrVbv-1500K.mp4,1401537,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-abrVbv-3000K.mp4,2809884,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-abrVbv-7500K.mp4,7072055,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-abrVbv-750K.mp4,688847,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crf-17.mp4,4768058,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crf-23.mp4,2281288,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crf-29.mp4,1130665,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crf-35.mp4,580096,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-17_1500K.mp4,1495164,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-17_3000K.mp4,2973648,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-17_7500K.mp4,4672362,isom,512,isomiso2avc1mp41,Lavf57.66.103
