frame,pts_time,size,type
frame,0.000000,619764,I
frame,0.041667,30579,B
frame,0.083333,39082,B
frame,0.125000,39628,B
frame,0.166667,211238,P
frame,0.208333,32262,B
frame,0.250000,42601,B
frame,0.291667,39866,B
frame,0.333333,175062,P
frame,0.375000,27709,B
frame,0.416667,51504,B
frame,0.458333,32145,B
frame,0.500000,173507,P
frame,0.541667,24012,B
frame,0.583333,42644,B
frame,0.625000,26837,B
frame,0.666667,122117,P
frame,0.708333,10244,B
frame,0.750000,38080,B
frame,0.791667,8524,B
frame,0.833333,42018,P
frame,0.875000,410450,I
frame,0.916667,24452,B
frame,0.958333,22172,B
frame,1.000000,50975,P
frame,1.041667,20542,B
frame,1.083333,26826,B
frame,1.125000,20232,B
frame,1.166667,57643,P
frame,1.208333,18044,B
frame,1.250000,25841,B
frame,1.291667,18499,B
frame,1.333333,51223,P
frame,1.375000,20575,B
frame,1.416667,25433,B
frame,1.458333,17975,B
frame,1.500000,68423,P
frame,1.541667,18341,B
frame,1.583333,26491,B
frame,1.625000,16908,B
frame,1.666667,69814,P
frame,1.708333,16419,B
frame,1.750000,26970,B
frame,1.791667,18732,B
frame,1.833333,71229,P
frame,1.875000,15948,B
frame,1.916667,24799,B
frame,1.958333,17305,B
frame,2.000000,75789,P
frame,2.041667,14476,B
frame,2.083333,23047,B
frame,2.125000,12432,B
frame,2.166667,70612,P
frame,2.208333,12340,B
frame,2.250000,17736,B
frame,2.291667,10051,B
frame,2.333333,53981,P
frame,2.375000,13024,B
frame,2.416667,21591,B
frame,2.458333,14280,B
frame,2.500000,44366,P
frame,2.541667,17399,B
frame,2.583333,28941,B
frame,2.625000,19775,B
frame,2.666667,49971,P
frame,2.708333,17981,B
frame,2.750000,25575,B
frame,2.791667,20281,B
frame,2.833333,50752,P
frame,2.875000,19516,B
frame,2.916667,26722,B
frame,2.958333,20084,B
frame,3.000000,50256,P
frame,3.041667,21750,B
frame,3.083333,26994,B
frame,3.125000,16723,B
frame,3.166667,61112,P
frame,3.208333,16547,B
frame,3.250000,22358,B
frame,3.291667,11331,B
frame,3.333333,36068,P
frame,3.375000,13124,B
frame,3.416667,26480,P
frame,3.458333,431171,I
frame,3.500000,12467,B
frame,3.541667,24709,B
frame,3.583333,16800,B
frame,3.625000,57754,P
frame,3.666667,14057,B
frame,3.708333,20652,B
frame,3.750000,14425,B
frame,3.791667,49330,P
frame,3.833333,13810,B
frame,3.875000,19937,B
frame,3.916667,13305,B
frame,3.958333,57989,P
frame,4.000000,16577,B
frame,4.041667,24810,B
frame,4.083333,15798,B
frame,4.125000,62379,P
frame,4.166667,17114,B
frame,4.208333,27263,B
frame,4.250000,13945,B
frame,4.291667,95184,P
frame,4.333333,9760,B
frame,4.375000,25862,B
frame,4.416667,11283,B
frame,4.458333,62823,P
frame,4.500000,12209,B
frame,4.541667,21730,B
frame,4.583333,17017,B
frame,4.625000,85800,P
frame,4.666667,15162,B
frame,4.708333,18343,B
frame,4.750000,7387,B
frame,4.791667,122237,P
frame,4.833333,7922,B
frame,4.875000,11736,B
frame,4.916667,6812,B
frame,4.958333,77277,P
frame,5.000000,5374,B
frame,5.041667,8219,B
frame,5.083333,5410,B
frame,5.125000,70812,P
frame,5.166667,5869,B
frame,5.208333,6476,B
frame,5.250000,5486,B
frame,5.291667,57691,P
frame,5.333333,9797,B
frame,5.375000,16303,B
frame,5.416667,10864,B
frame,5.458333,58670,P
frame,5.500000,12075,B
frame,5.541667,19820,B
frame,5.583333,13545,B
frame,5.625000,68205,P
frame,5.666667,12492,B
frame,5.708333,20402,B
frame,5.750000,13233,B
frame,5.791667,79713,P
frame,5.833333,11458,B
frame,5.875000,23783,B
frame,5.916667,12675,B
frame,5.958333,58058,P
frame,6.000000,14787,B
frame,6.041667,24480,B
frame,6.083333,13812,B
frame,6.125000,66164,P
frame,6.166667,13020,B
frame,6.208333,24799,B
frame,6.250000,14923,B
frame,6.291667,83154,P
frame,6.333333,15783,B
frame,6.375000,24217,B
frame,6.416667,13308,B
frame,6.458333,98357,P
frame,6.500000,11791,B
frame,6.541667,18517,B
frame,6.583333,8681,B
frame,6.625000,90104,P
frame,6.666667,6946,B
frame,6.708333,11628,B
frame,6.750000,7777,B
frame,6.791667,32112,P
frame,6.833333,12637,P
