frame,pts_time,size,type
frame,0.000000,247441,I
frame,0.041667,3268,B
frame,0.083333,4031,B
frame,0.125000,4007,B
frame,0.166667,24943,P
frame,0.208333,3458,B
frame,0.250000,5190,B
frame,0.291667,5148,B
frame,0.333333,20950,P
frame,0.375000,3296,B
frame,0.416667,4949,B
frame,0.458333,3015,B
frame,0.500000,16074,P
frame,0.541667,2163,B
frame,0.583333,2233,B
frame,0.625000,1665,B
frame,0.666667,1451,P
frame,0.708333,948,B
frame,0.750000,1237,B
frame,0.791667,822,B
frame,0.833333,858,P
frame,0.875000,101215,I
frame,0.916667,3153,B
frame,0.958333,3754,B
frame,1.000000,7421,P
frame,1.041667,3794,B
frame,1.083333,5375,B
frame,1.125000,4338,B
frame,1.166667,15497,P
frame,1.208333,4473,B
frame,1.250000,7366,B
frame,1.291667,5538,B
frame,1.333333,19371,P
frame,1.375000,6752,B
frame,1.416667,8129,B
frame,1.458333,5207,B
frame,1.500000,21468,P
frame,1.541667,5647,B
frame,1.583333,8597,B
frame,1.625000,5230,B
frame,1.666667,24511,P
frame,1.708333,5100,B
frame,1.750000,8647,B
frame,1.791667,6290,B
frame,1.833333,25161,P
frame,1.875000,5087,B
frame,1.916667,7960,B
frame,1.958333,5724,B
frame,2.000000,26030,P
frame,2.041667,4837,B
frame,2.083333,6493,B
frame,2.125000,4108,B
frame,2.166667,21186,P
frame,2.208333,4272,B
frame,2.250000,5413,B
frame,2.291667,3381,B
frame,2.333333,16079,P
frame,2.375000,4393,B
frame,2.416667,6766,B
frame,2.458333,4717,B
frame,2.500000,13820,P
frame,2.541667,5693,B
frame,2.583333,9967,B
frame,2.625000,6821,B
frame,2.666667,18213,P
frame,2.708333,6608,B
frame,2.750000,9805,B
frame,2.791667,7815,B
frame,2.833333,21077,P
frame,2.875000,8087,B
frame,2.916667,11725,B
frame,2.958333,8278,B
frame,3.000000,22973,P
frame,3.041667,9239,B
frame,3.083333,11641,B
frame,3.125000,6727,B
frame,3.166667,26206,P
frame,3.208333,6794,B
frame,3.250000,8821,B
frame,3.291667,4851,B
frame,3.333333,13705,P
frame,3.375000,5862,B
frame,3.416667,11069,P
frame,3.458333,188084,I
frame,3.500000,3264,B
frame,3.541667,5140,B
frame,3.583333,3811,B
frame,3.625000,16471,P
frame,3.666667,3777,B
frame,3.708333,5878,B
frame,3.750000,3927,B
frame,3.791667,16132,P
frame,3.833333,3656,B
frame,3.875000,5762,B
frame,3.916667,3805,B
frame,3.958333,19315,P
frame,4.000000,4399,B
frame,4.041667,7034,B
frame,4.083333,4372,B
frame,4.125000,18524,P
frame,4.166667,4835,B
frame,4.208333,7069,B
frame,4.250000,3456,B
frame,4.291667,28201,P
frame,4.333333,2702,B
frame,4.375000,5464,B
frame,4.416667,3380,B
frame,4.458333,17653,P
frame,4.500000,4667,B
frame,4.541667,7717,B
frame,4.583333,6958,B
frame,4.625000,30195,P
frame,4.666667,5627,B
frame,4.708333,5046,B
frame,4.750000,2563,B
frame,4.791667,41217,P
frame,4.833333,2925,B
frame,4.875000,4038,B
frame,4.916667,2624,B
frame,4.958333,22972,P
frame,5.000000,2043,B
frame,5.041667,2224,B
frame,5.083333,2293,B
frame,5.125000,19792,P
frame,5.166667,2172,B
frame,5.208333,2217,B
frame,5.250000,2153,B
frame,5.291667,15614,P
frame,5.333333,4163,B
frame,5.375000,7519,B
frame,5.416667,5672,B
frame,5.458333,20896,P
frame,5.500000,6215,B
frame,5.541667,10106,B
frame,5.583333,6766,B
frame,5.625000,30722,P
frame,5.666667,6443,B
frame,5.708333,8021,B
frame,5.750000,5767,B
frame,5.791667,33793,P
frame,5.833333,5441,B
frame,5.875000,8801,B
frame,5.916667,5259,B
frame,5.958333,25664,P
frame,6.000000,5648,B
frame,6.041667,9320,B
frame,6.083333,5506,B
frame,6.125000,31222,P
frame,6.166667,5531,B
frame,6.208333,9296,B
frame,6.250000,7117,B
frame,6.291667,36261,P
frame,6.333333,8083,B
frame,6.375000,11593,B
frame,6.416667,6691,B
frame,6.458333,43555,P
frame,6.500000,6516,B
frame,6.541667,8118,B
frame,6.583333,4297,B
frame,6.625000,39022,P
frame,6.666667,3577,B
frame,6.708333,5384,B
frame,6.750000,3199,B
frame,6.791667,11057,P
frame,6.833333,3612,P
frame,6.875000,319071,I
frame,6.916667,6803,B
frame,6.958333,8532,B
frame,7.000000,5184,B
frame,7.041667,21780,P
frame,7.083333,5453,B
frame,7.125000,10776,B
frame,7.166667,7076,B
frame,7.208333,35553,P
frame,7.250000,5612,B
frame,7.291667,8987,B
frame,7.333333,7944,B
frame,7.375000,44303,P
frame,7.416667,6597,B
frame,7.458333,9387,B
frame,7.500000,6165,B
frame,7.541667,39461,P
frame,7.583333,9278,B
frame,7.625000,14040,B
frame,7.666667,11524,B
frame,7.708333,46061,P
frame,7.750000,12308,B
frame,7.791667,17245,B
frame,7.833333,10037,B
frame,7.875000,50051,P
frame,7.916667,7229,B
frame,7.958333,10448,B
frame,8.000000,5857,B
frame,8.041667,50706,P
frame,8.083333,4269,B
frame,8.125000,6381,B
frame,8.166667,5517,B
frame,8.208333,38230,P
frame,8.250000,4751,B
frame,8.291667,5238,B
frame,8.333333,3460,B
frame,8.375000,32448,P
frame,8.416667,3733,B
frame,8.458333,4959,B
frame,8.500000,3638,B
frame,8.541667,32890,P
frame,8.583333,3438,B
frame,8.625000,4994,B
frame,8.666667,3336,B
frame,8.708333,32306,P
frame,8.750000,2572,B
frame,8.791667,4050,B
frame,8.833333,2670,B
frame,8.875000,34576,P
frame,8.916667,1334,B
frame,8.958333,2025,B
frame,9.000000,1200,B
frame,9.041667,29873,P
frame,9.083333,1179,B
frame,9.125000,1820,B
frame,9.166667,1121,B
frame,9.208333,28143,P
frame,9.250000,1251,B
frame,9.291667,2040,B
frame,9.333333,1319,B
frame,9.375000,27280,P
frame,9.416667,1814,B
frame,9.458333,4693,B
frame,9.500000,4828,B
frame,9.541667,39964,P
frame,9.583333,6575,B
frame,9.625000,8026,B
frame,9.666667,2927,B
frame,9.708333,52955,P
frame,9.750000,1645,B
frame,9.791667,2470,B
frame,9.833333,1381,B
frame,9.875000,28491,P
frame,9.916667,1413,B
frame,9.958333,1836,B
frame,10.000000,1255,B
frame,10.041667,28475,P
frame,10.083333,1310,B
frame,10.125000,1804,B
frame,10.166667,1224,B
frame,10.208333,26232,P
frame,10.250000,1938,B
frame,10.291667,6377,B
frame,10.333333,9263,B
frame,10.375000,47447,P
frame,10.416667,5020,B
frame,10.458333,5298,B
frame,10.500000,2089,B
frame,10.541667,56564,P
frame,10.583333,2551,B
frame,10.625000,2893,B
frame,10.666667,1783,B
frame,10.708333,33670,P
frame,10.750000,1642,B
frame,10.791667,3055,B
frame,10.833333,2455,B
frame,10.875000,35879,P
frame,10.916667,11141,B
frame,10.958333,15605,B
frame,11.000000,10055,B
frame,11.041667,59725,P
frame,11.083333,5077,B
frame,11.125000,5870,B
frame,11.166667,4581,B
frame,11.208333,53389,P
frame,11.250000,6091,B
frame,11.291667,8979,B
frame,11.333333,6076,B
frame,11.375000,50469,P
frame,11.416667,3929,B
frame,11.458333,4569,B
frame,11.500000,2329,B
frame,11.541667,44299,P
frame,11.583333,1954,B
frame,11.625000,2760,B
frame,11.666667,1535,B
frame,11.708333,32879,P
frame,11.750000,1670,B
frame,11.791667,3251,B
frame,11.833333,6368,B
frame,11.875000,44217,P
frame,11.916667,9625,B
frame,11.958333,13257,B
frame,12.000000,7484,B
frame,12.041667,59005,P
frame,12.083333,5345,B
frame,12.125000,7776,B
frame,12.166667,3263,B
frame,12.208333,61409,P
frame,12.250000,2533,B
frame,12.291667,3682,B
frame,12.333333,2051,B
frame,12.375000,43276,P
frame,12.416667,2067,B
frame,12.458333,2888,B
frame,12.500000,1796,B
frame,12.541667,36974,P
frame,12.583333,1767,B
frame,12.625000,2752,B
frame,12.666667,1880,B
frame,12.708333,32396,P
frame,12.750000,2022,B
frame,12.791667,3690,B
frame,12.833333,2508,B
frame,12.875000,36957,P
frame,12.916667,3152,B
frame,12.958333,5625,B
frame,13.000000,2925,B
frame,13.041667,48914,P
frame,13.083333,3388,B
frame,13.125000,5942,B
frame,13.166667,4621,B
frame,13.208333,54768,P
frame,13.250000,6899,B
frame,13.291667,8761,B
frame,13.333333,3911,B
frame,13.375000,56575,P
frame,13.416667,3415,B
frame,13.458333,6670,B
frame,13.500000,3682,B
frame,13.541667,43774,P
frame,13.583333,6852,B
frame,13.625000,13448,B
frame,13.666667,6496,B
frame,13.708333,69314,P
frame,13.750000,4251,B
frame,13.791667,6139,B
frame,13.833333,3047,B
frame,13.875000,59960,P
frame,13.916667,2938,B
frame,13.958333,4765,B
frame,14.000000,2805,B
frame,14.041667,45072,P
frame,14.083333,2826,B
frame,14.125000,5183,B
frame,14.166667,3388,B
frame,14.208333,43552,P
frame,14.250000,3690,B
frame,14.291667,5594,B
frame,14.333333,3486,B
frame,14.375000,44317,P
frame,14.416667,4899,B
frame,14.458333,7100,B
frame,14.500000,4886,B
frame,14.541667,42039,P
frame,14.583333,5343,B
frame,14.625000,8663,B
frame,14.666667,6241,B
frame,14.708333,45426,P
frame,14.750000,9408,B
frame,14.791667,17654,B
frame,14.833333,11118,B
frame,14.875000,61249,P
frame,14.916667,10314,B
frame,14.958333,14071,B
frame,15.000000,7310,B
frame,15.041667,71436,P
frame,15.083333,6646,B
frame,15.125000,8066,B
frame,15.166667,4792,B
frame,15.208333,56492,P
frame,15.250000,6137,B
frame,15.291667,7480,B
frame,15.333333,4422,B
frame,15.375000,43658,P
frame,15.416667,4816,B
frame,15.458333,8348,B
frame,15.500000,6021,B
frame,15.541667,37540,P
frame,15.583333,3717,B
frame,15.625000,8225,B
frame,15.666667,6112,B
frame,15.708333,43610,P
frame,15.750000,11353,B
frame,15.791667,13927,B
frame,15.833333,7731,B
frame,15.875000,52598,P
frame,15.916667,7852,B
frame,15.958333,13412,B
frame,16.000000,8221,B
frame,16.041667,56700,P
frame,16.083333,7835,B
frame,16.125000,8832,B
frame,16.166667,4336,B
frame,16.208333,60723,P
frame,16.250000,3619,B
frame,16.291667,7334,B
frame,16.333333,3693,B
frame,16.375000,48766,P
frame,16.416667,2902,B
frame,16.458333,6339,B
frame,16.500000,3503,B
frame,16.541667,42461,P
frame,16.583333,3555,B
frame,16.625000,4383,B
frame,16.666667,3148,B
frame,16.708333,41047,P
frame,16.750000,2793,B
frame,16.791667,4114,B
frame,16.833333,3149,B
frame,16.875000,37911,P
frame,16.916667,3195,B
frame,16.958333,4717,B
frame,17.000000,2609,B
frame,17.041667,41773,P
frame,17.083333,2193,B
frame,17.125000,3799,B
frame,17.166667,2310,B
frame,17.208333,38729,P
frame,17.250000,2300,P
frame,17.291667,332472,I
frame,17.333333,1603,B
frame,17.375000,3399,B
frame,17.416667,2339,B
frame,17.458333,21247,P
frame,17.500000,2424,B
frame,17.541667,5640,B
frame,17.583333,4166,B
frame,17.625000,35844,P
frame,17.666667,10131,B
frame,17.708333,11630,B
frame,17.750000,8928,B
frame,17.791667,55487,P
frame,17.833333,5501,B
frame,17.875000,8240,B
frame,17.916667,6665,B
frame,17.958333,40732,P
frame,18.000000,4406,B
frame,18.041667,6962,B
frame,18.083333,5844,B
frame,18.125000,38161,P
frame,18.166667,6048,B
frame,18.208333,9122,B
frame,18.250000,6145,B
frame,18.291667,52186,P
frame,18.333333,7451,B
frame,18.375000,8114,B
frame,18.416667,5521,B
frame,18.458333,53113,P
frame,18.500000,6761,B
frame,18.541667,8855,B
frame,18.583333,4656,B
frame,18.625000,45031,P
frame,18.666667,6839,B
frame,18.708333,11221,B
frame,18.750000,8559,B
frame,18.791667,44333,P
frame,18.833333,6187,B
frame,18.875000,8021,B
frame,18.916667,7284,B
frame,18.958333,43435,P
frame,19.000000,5634,B
frame,19.041667,7019,B
frame,19.083333,5372,B
frame,19.125000,38394,P
frame,19.166667,6956,B
frame,19.208333,6943,B
frame,19.250000,5645,B
frame,19.291667,38071,P
frame,19.333333,5969,B
frame,19.375000,8688,B
frame,19.416667,5476,B
frame,19.458333,36676,P
frame,19.500000,5302,B
frame,19.541667,8051,B
frame,19.583333,6105,B
frame,19.625000,36477,P
frame,19.666667,6233,B
