frame,pts_time,size,type
frame,0.000000,446934,I
frame,0.041667,10887,B
frame,0.083333,12644,B
frame,0.125000,13258,B
frame,0.166667,95506,P
frame,0.208333,10139,B
frame,0.250000,14341,B
frame,0.291667,14624,B
frame,0.333333,75044,P
frame,0.375000,8419,B
frame,0.416667,15829,B
frame,0.458333,9047,B
frame,0.500000,71215,P
frame,0.541667,3136,B
frame,0.583333,5025,B
frame,0.625000,3776,B
frame,0.666667,16100,P
frame,0.708333,2327,B
frame,0.750000,3760,B
frame,0.791667,1547,B
frame,0.833333,14287,P
frame,0.875000,268591,I
frame,0.916667,13229,B
frame,0.958333,12729,B
frame,1.000000,26149,P
frame,1.041667,11890,B
frame,1.083333,16243,B
frame,1.125000,12518,B
frame,1.166667,46603,P
frame,1.208333,12585,B
frame,1.250000,18930,B
frame,1.291667,12904,B
frame,1.333333,49394,P
frame,1.375000,16372,B
frame,1.416667,20096,B
frame,1.458333,13625,B
frame,1.500000,64527,P
frame,1.541667,14828,B
frame,1.583333,21703,B
frame,1.625000,13329,B
frame,1.666667,63822,P
frame,1.708333,12828,B
frame,1.750000,21731,B
frame,1.791667,14925,B
frame,1.833333,71513,P
frame,1.875000,14114,B
frame,1.916667,22021,B
frame,1.958333,15045,B
frame,2.000000,74781,P
frame,2.041667,12232,B
frame,2.083333,18324,B
frame,2.125000,10350,B
frame,2.166667,60716,P
frame,2.208333,10491,B
frame,2.250000,14740,B
frame,2.291667,8356,B
frame,2.333333,54428,P
frame,2.375000,11482,B
frame,2.416667,18654,B
frame,2.458333,12199,B
frame,2.500000,50473,P
frame,2.541667,15424,B
frame,2.583333,24995,B
frame,2.625000,17125,B
frame,2.666667,53588,P
frame,2.708333,15811,B
frame,2.750000,23112,B
frame,2.791667,17815,B
frame,2.833333,60337,P
frame,2.875000,17996,B
frame,2.916667,25774,B
frame,2.958333,18078,B
frame,3.000000,57272,P
frame,3.041667,20445,B
frame,3.083333,26838,B
frame,3.125000,15964,B
frame,3.166667,71458,P
frame,3.208333,18299,B
frame,3.250000,24189,B
frame,3.291667,12434,B
frame,3.333333,44114,P
frame,3.375000,14888,B
frame,3.416667,45246,P
frame,3.458333,544710,I
frame,3.500000,14416,B
frame,3.541667,28725,B
frame,3.583333,20311,B
frame,3.625000,62156,P
frame,3.666667,13594,B
frame,3.708333,19831,B
frame,3.750000,14445,B
frame,3.791667,45257,P
frame,3.833333,13455,B
frame,3.875000,19019,B
frame,3.916667,13364,B
frame,3.958333,52828,P
frame,4.000000,16005,B
frame,4.041667,23562,B
frame,4.083333,15155,B
frame,4.125000,61097,P
frame,4.166667,13220,B
frame,4.208333,21487,B
frame,4.250000,11236,B
frame,4.291667,73930,P
frame,4.333333,7652,B
frame,4.375000,18810,B
frame,4.416667,8491,B
frame,4.458333,45757,P
frame,4.500000,9711,B
frame,4.541667,16633,B
frame,4.583333,13390,B
frame,4.625000,75580,P
frame,4.666667,12699,B
frame,4.708333,15234,B
frame,4.750000,6480,B
frame,4.791667,101566,P
frame,4.833333,6758,B
frame,4.875000,10609,B
frame,4.916667,5777,B
frame,4.958333,70385,P
frame,5.000000,5247,B
frame,5.041667,7629,B
frame,5.083333,4804,B
frame,5.125000,63330,P
frame,5.166667,5100,B
frame,5.208333,5853,B
frame,5.250000,4671,B
frame,5.291667,49375,P
frame,5.333333,8544,B
frame,5.375000,14034,B
frame,5.416667,9500,B
frame,5.458333,50029,P
frame,5.500000,10731,B
frame,5.541667,18097,B
frame,5.583333,12052,B
frame,5.625000,61880,P
frame,5.666667,11546,B
frame,5.708333,17672,B
frame,5.750000,11811,B
frame,5.791667,76846,P
frame,5.833333,11393,B
frame,5.875000,22533,B
frame,5.916667,12455,B
frame,5.958333,58956,P
frame,6.000000,14012,B
frame,6.041667,23580,B
frame,6.083333,13541,B
frame,6.125000,66785,P
frame,6.166667,12438,B
frame,6.208333,23818,B
frame,6.250000,14634,B
frame,6.291667,80112,P
frame,6.333333,15704,B
frame,6.375000,22800,B
frame,6.416667,12789,B
frame,6.458333,93649,P
frame,6.500000,11284,B
frame,6.541667,17058,B
frame,6.583333,7814,B
frame,6.625000,83057,P
frame,6.666667,6649,B
frame,6.708333,9176,B
frame,6.750000,6404,B
frame,6.791667,40318,P
frame,6.833333,15145,P
frame,6.875000,628950,I
frame,6.916667,15073,B
frame,6.958333,19058,B
frame,7.000000,12509,B
frame,7.041667,74394,P
frame,7.083333,13048,B
frame,7.125000,24728,B
frame,7.166667,16494,B
frame,7.208333,99630,P
frame,7.250000,13053,B
frame,7.291667,21418,B
frame,7.333333,17558,B
frame,7.375000,116544,P
frame,7.416667,14054,B
frame,7.458333,21813,B
frame,7.500000,13255,B
frame,7.541667,96965,P
frame,7.583333,19184,B
frame,7.625000,30806,B
frame,7.666667,24423,B
frame,7.708333,100102,P
frame,7.750000,25999,B
frame,7.791667,36121,B
frame,7.833333,21588,B
frame,7.875000,110401,P
frame,7.916667,15717,B
frame,7.958333,22914,B
frame,8.000000,12497,B
frame,8.041667,122656,P
frame,8.083333,9773,B
frame,8.125000,14589,B
frame,8.166667,12002,B
frame,8.208333,108065,P
frame,8.250000,10425,B
frame,8.291667,12098,B
frame,8.333333,8368,B
frame,8.375000,91808,P
frame,8.416667,8387,B
frame,8.458333,10814,B
frame,8.500000,8445,B
frame,8.541667,90813,P
frame,8.583333,7999,B
frame,8.625000,10995,B
frame,8.666667,7582,B
frame,8.708333,88794,P
frame,8.750000,6103,B
frame,8.791667,9213,B
frame,8.833333,6545,B
frame,8.875000,95546,P
frame,8.916667,3645,B
frame,8.958333,4666,B
frame,9.000000,3182,B
frame,9.041667,84205,P
frame,9.083333,3009,B
frame,9.125000,3795,B
frame,9.166667,2906,B
frame,9.208333,70108,P
frame,9.250000,3159,B
frame,9.291667,4471,B
frame,9.333333,3241,B
frame,9.375000,75451,P
frame,9.416667,4546,B
frame,9.458333,12472,B
frame,9.500000,11569,B
frame,9.541667,99226,P
frame,9.583333,15743,B
frame,9.625000,19912,B
frame,9.666667,7403,B
frame,9.708333,125705,P
frame,9.750000,4205,B
frame,9.791667,6468,B
frame,9.833333,3575,B
frame,9.875000,85743,P
frame,9.916667,3736,B
frame,9.958333,4495,B
frame,10.000000,3117,B
frame,10.041667,82210,P
frame,10.083333,3292,B
frame,10.125000,4206,B
frame,10.166667,3148,B
frame,10.208333,67045,P
frame,10.250000,5208,B
frame,10.291667,15326,B
frame,10.333333,20224,B
frame,10.375000,109471,P
frame,10.416667,12764,B
frame,10.458333,14481,B
frame,10.500000,5526,B
frame,10.541667,132278,P
frame,10.583333,5702,B
frame,10.625000,7464,B
frame,10.666667,4391,B
frame,10.708333,88045,P
frame,10.750000,3940,B
frame,10.791667,9515,B
frame,10.833333,7135,B
frame,10.875000,90549,P
frame,10.916667,24012,B
frame,10.958333,31358,B
frame,11.000000,21896,B
frame,11.041667,134973,P
frame,11.083333,11420,B
frame,11.125000,14224,B
frame,11.166667,10251,B
frame,11.208333,127088,P
frame,11.250000,12666,B
frame,11.291667,18773,B
frame,11.333333,12645,B
frame,11.375000,127382,P
frame,11.416667,8677,B
frame,11.458333,10168,B
frame,11.500000,5419,B
frame,11.541667,111598,P
frame,11.583333,4779,B
frame,11.625000,6754,B
frame,11.666667,3863,B
frame,11.708333,95817,P
frame,11.750000,3842,B
frame,11.791667,8463,B
frame,11.833333,13640,B
frame,11.875000,106115,P
frame,11.916667,19935,B
frame,11.958333,27322,B
frame,12.000000,15066,B
frame,12.041667,134414,P
frame,12.083333,11451,B
frame,12.125000,17080,B
frame,12.166667,7964,B
frame,12.208333,148268,P
frame,12.250000,5900,B
frame,12.291667,9060,B
frame,12.333333,5507,B
frame,12.375000,115357,P
frame,12.416667,4966,B
frame,12.458333,7354,B
frame,12.500000,4665,B
frame,12.541667,94094,P
frame,12.583333,4188,B
frame,12.625000,6688,B
frame,12.666667,4303,B
frame,12.708333,78349,P
frame,12.750000,4656,B
frame,12.791667,8451,B
frame,12.833333,5786,B
frame,12.875000,88223,P
frame,12.916667,6994,B
frame,12.958333,13227,B
frame,13.000000,6528,B
frame,13.041667,121961,P
frame,13.083333,7234,B
frame,13.125000,13440,B
frame,13.166667,10047,B
frame,13.208333,133794,P
frame,13.250000,13460,B
frame,13.291667,17605,B
frame,13.333333,8333,B
frame,13.375000,123525,P
frame,13.416667,7037,B
frame,13.458333,14339,B
frame,13.500000,8106,B
frame,13.541667,97950,P
frame,13.583333,15360,B
frame,13.625000,28952,B
frame,13.666667,14215,B
frame,13.708333,165197,P
frame,13.750000,10169,B
frame,13.791667,14993,B
frame,13.833333,7253,B
frame,13.875000,151525,P
frame,13.916667,6979,B
frame,13.958333,10970,B
frame,14.000000,6547,B
frame,14.041667,122385,P
frame,14.083333,6597,B
frame,14.125000,11676,B
frame,14.166667,7571,B
frame,14.208333,115806,P
frame,14.250000,7967,B
frame,14.291667,11983,B
frame,14.333333,7677,B
frame,14.375000,112968,P
frame,14.416667,10274,B
frame,14.458333,15345,B
frame,14.500000,10693,B
frame,14.541667,105610,P
frame,14.583333,11177,B
frame,14.625000,19148,B
frame,14.666667,13577,B
frame,14.708333,112371,P
frame,14.750000,20545,B
frame,14.791667,37421,B
frame,14.833333,24112,B
frame,14.875000,138606,P
frame,14.916667,22114,B
frame,14.958333,30341,B
frame,15.000000,15487,B
frame,15.041667,165090,P
frame,15.083333,13689,B
frame,15.125000,17612,B
frame,15.166667,10350,B
frame,15.208333,143150,P
frame,15.250000,12707,B
frame,15.291667,16054,B
frame,15.333333,9448,B
frame,15.375000,119064,P
frame,15.416667,10246,B
frame,15.458333,17272,B
frame,15.500000,12353,B
frame,15.541667,99856,P
frame,15.583333,8266,B
frame,15.625000,19114,B
frame,15.666667,13766,B
frame,15.708333,112411,P
frame,15.750000,23815,B
frame,15.791667,29911,B
frame,15.833333,17280,B
frame,15.875000,125269,P
frame,15.916667,17614,B
frame,15.958333,28516,B
frame,16.000000,18025,B
frame,16.041667,136091,P
frame,16.083333,18195,B
frame,16.125000,21363,B
frame,16.166667,10802,B
frame,16.208333,146648,P
frame,16.250000,8839,B
frame,16.291667,19288,B
frame,16.333333,8904,B
frame,16.375000,125948,P
frame,16.416667,7553,B
frame,16.458333,17805,B
frame,16.500000,8347,B
frame,16.541667,112140,P
frame,16.583333,9731,B
frame,16.625000,10536,B
frame,16.666667,8131,B
frame,16.708333,107659,P
frame,16.750000,7085,B
frame,16.791667,10267,B
frame,16.833333,7684,B
frame,16.875000,100667,P
frame,16.916667,7491,B
frame,16.958333,11097,B
frame,17.000000,6656,B
frame,17.041667,104797,P
frame,17.083333,5339,B
frame,17.125000,9156,B
frame,17.166667,5395,B
frame,17.208333,99231,P
frame,17.250000,7734,P
frame,17.291667,546353,I
frame,17.333333,4087,B
frame,17.375000,8216,B
frame,17.416667,5305,B
frame,17.458333,62740,P
frame,17.500000,5476,B
frame,17.541667,12196,B
frame,17.583333,9491,B
frame,17.625000,81907,P
frame,17.666667,18306,B
frame,17.708333,21302,B
frame,17.750000,17070,B
frame,17.791667,113729,P
frame,17.833333,10795,B
frame,17.875000,15813,B
frame,17.916667,12434,B
frame,17.958333,109752,P
