frame,pts_time,size,type
frame,0.000000,46913,I
frame,0.041667,964,B
frame,0.083333,1228,B
frame,0.125000,1066,B
frame,0.166667,2330,P
frame,0.208333,1143,B
frame,0.250000,1555,B
frame,0.291667,1280,B
frame,0.333333,2616,P
frame,0.375000,1031,B
frame,0.416667,1006,B
frame,0.458333,840,B
frame,0.500000,1864,P
frame,0.541667,836,B
frame,0.583333,1152,B
frame,0.625000,707,B
frame,0.666667,1857,P
frame,0.708333,542,B
frame,0.750000,718,B
frame,0.791667,242,B
frame,0.833333,918,P
frame,0.875000,40473,I
frame,0.916667,2313,B
frame,0.958333,2558,B
frame,1.000000,6167,P
frame,1.041667,2262,B
frame,1.083333,3225,B
frame,1.125000,2194,B
frame,1.166667,8047,P
frame,1.208333,1992,B
frame,1.250000,3101,B
frame,1.291667,2126,B
frame,1.333333,7522,P
frame,1.375000,2744,B
frame,1.416667,3161,B
frame,1.458333,1906,B
frame,1.500000,9056,P
frame,1.541667,2359,B
frame,1.583333,3478,B
frame,1.625000,1897,B
frame,1.666667,9539,P
frame,1.708333,2125,B
frame,1.750000,3391,B
frame,1.791667,2276,B
frame,1.833333,9037,P
frame,1.875000,1738,B
frame,1.916667,2722,B
frame,1.958333,1811,B
frame,2.000000,9148,P
frame,2.041667,1776,B
frame,2.083333,2254,B
frame,2.125000,1423,B
frame,2.166667,6783,P
frame,2.208333,1419,B
frame,2.250000,1809,B
frame,2.291667,1041,B
frame,2.333333,4706,P
frame,2.375000,1384,B
frame,2.416667,2162,B
frame,2.458333,1532,B
frame,2.500000,3972,P
frame,2.541667,1767,B
frame,2.583333,3090,B
frame,2.625000,2105,B
frame,2.666667,5605,P
frame,2.708333,1982,B
frame,2.750000,2949,B
frame,2.791667,2376,B
frame,2.833333,6437,P
frame,2.875000,2450,B
frame,2.916667,3641,B
frame,2.958333,2435,B
frame,3.000000,6920,P
frame,3.041667,2597,B
frame,3.083333,3295,B
frame,3.125000,1745,B
frame,3.166667,6989,P
frame,3.208333,1853,B
frame,3.250000,2384,B
frame,3.291667,1309,B
frame,3.333333,3411,P
frame,3.375000,1519,B
frame,3.416667,2813,P
frame,3.458333,55856,I
frame,3.500000,601,B
frame,3.541667,1207,B
frame,3.583333,671,B
frame,3.625000,3459,P
frame,3.666667,915,B
frame,3.708333,1670,B
frame,3.750000,1072,B
frame,3.791667,3818,P
frame,3.833333,977,B
frame,3.875000,1588,B
frame,3.916667,821,B
frame,3.958333,4643,P
frame,4.000000,1014,B
frame,4.041667,1907,B
frame,4.083333,928,B
frame,4.125000,4634,P
frame,4.166667,935,B
frame,4.208333,1524,B
frame,4.250000,698,B
frame,4.291667,4783,P
