frame,pts_time,size,type
frame,0.000000,156557,I
frame,0.041667,3672,B
frame,0.083333,3807,B
frame,0.125000,4825,B
frame,0.166667,10600,P
frame,0.208333,4273,B
frame,0.250000,6260,B
frame,0.291667,5491,B
frame,0.333333,11777,P
frame,0.375000,4281,B
frame,0.416667,5951,B
frame,0.458333,4407,B
frame,0.500000,10216,P
frame,0.541667,3602,B
frame,0.583333,5237,B
frame,0.625000,3991,B
frame,0.666667,10037,P
frame,0.708333,2266,B
frame,0.750000,3152,B
frame,0.791667,1396,B
frame,0.833333,9818,P
frame,0.875000,83506,I
frame,0.916667,5761,B
frame,0.958333,5974,B
frame,1.000000,11117,P
frame,1.041667,5513,B
frame,1.083333,7258,B
frame,1.125000,5852,B
frame,1.166667,15749,P
frame,1.208333,5316,B
frame,1.250000,7626,B
frame,1.291667,5348,B
frame,1.333333,14804,P
frame,1.375000,6800,B
frame,1.416667,8284,B
frame,1.458333,5181,B
frame,1.500000,17148,P
frame,1.541667,5872,B
frame,1.583333,8564,B
frame,1.625000,5068,B
frame,1.666667,16485,P
frame,1.708333,4876,B
frame,1.750000,8467,B
frame,1.791667,5867,B
frame,1.833333,15875,P
frame,1.875000,4687,B
frame,1.916667,7127,B
frame,1.958333,5400,B
frame,2.000000,16955,P
frame,2.041667,4519,B
frame,2.083333,5845,B
frame,2.125000,3861,B
frame,2.166667,13991,P
frame,2.208333,3837,B
frame,2.250000,4872,B
frame,2.291667,3079,B
frame,2.333333,9934,P
frame,2.375000,4177,B
frame,2.416667,5858,B
frame,2.458333,3975,B
frame,2.500000,9511,P
frame,2.541667,4785,B
frame,2.583333,8332,B
frame,2.625000,5416,B
frame,2.666667,12446,P
frame,2.708333,5296,B
frame,2.750000,7651,B
frame,2.791667,6151,B
frame,2.833333,14395,P
frame,2.875000,5803,B
frame,2.916667,8725,B
frame,2.958333,6096,B
frame,3.000000,15091,P
frame,3.041667,6383,B
frame,3.083333,8114,B
frame,3.125000,4713,B
frame,3.166667,15151,P
frame,3.208333,4741,B
frame,3.250000,5846,B
frame,3.291667,3454,B
frame,3.333333,8878,P
frame,3.375000,4255,B
frame,3.416667,8554,P
frame,3.458333,82351,I
frame,3.500000,1448,B
frame,3.541667,2480,B
frame,3.583333,1564,B
frame,3.625000,6798,P
frame,3.666667,1723,B
frame,3.708333,2986,B
frame,3.750000,1681,B
frame,3.791667,6275,P
frame,3.833333,1687,B
frame,3.875000,2678,B
frame,3.916667,1576,B
frame,3.958333,7605,P
frame,4.000000,1802,B
frame,4.041667,3345,B
frame,4.083333,1654,B
frame,4.125000,7594,P
frame,4.166667,1852,B
frame,4.208333,3078,B
frame,4.250000,1470,B
frame,4.291667,8332,P
frame,4.333333,1168,B
frame,4.375000,2012,B
frame,4.416667,1107,B
frame,4.458333,5016,P
frame,4.500000,2176,B
frame,4.541667,3824,B
frame,4.583333,3782,B
frame,4.625000,11293,P
frame,4.666667,2546,B
frame,4.708333,2490,B
frame,4.750000,1429,B
frame,4.791667,10666,P
frame,4.833333,1696,B
frame,4.875000,2173,B
frame,4.916667,1370,B
frame,4.958333,5414,P
frame,5.000000,1047,B
frame,5.041667,1587,B
frame,5.083333,1013,B
frame,5.125000,3467,P
frame,5.166667,927,B
frame,5.208333,1517,B
frame,5.250000,878,B
frame,5.291667,2634,P
frame,5.333333,1962,B
frame,5.375000,4123,B
frame,5.416667,2797,B
frame,5.458333,7132,P
frame,5.500000,3270,B
frame,5.541667,4966,B
frame,5.583333,3377,B
frame,5.625000,10068,P
frame,5.666667,2786,B
frame,5.708333,3367,B
frame,5.750000,2221,B
frame,5.791667,8633,P
frame,5.833333,1818,B
frame,5.875000,2755,B
frame,5.916667,1674,B
frame,5.958333,6572,P
frame,6.000000,1664,B
frame,6.041667,2469,B
frame,6.083333,1366,B
frame,6.125000,8043,P
frame,6.166667,1388,B
frame,6.208333,2754,B
frame,6.250000,2329,B
frame,6.291667,9217,P
frame,6.333333,3094,B
frame,6.375000,4225,B
frame,6.416667,2390,B
frame,6.458333,11174,P
frame,6.500000,2596,B
frame,6.541667,3344,B
frame,6.583333,1520,B
frame,6.625000,9729,P
frame,6.666667,1146,B
frame,6.708333,1907,B
frame,6.750000,905,B
frame,6.791667,3859,P
frame,6.833333,979,P
frame,6.875000,106857,I
frame,6.916667,4506,B
