frame,pts_time,size,type
frame,0.000000,105514,I
frame,0.041667,1558,B
frame,0.083333,2310,B
frame,0.125000,1461,B
frame,0.166667,8268,P
frame,0.208333,1559,B
frame,0.250000,2410,B
frame,0.291667,1504,B
frame,0.333333,9776,P
frame,0.375000,1548,B
frame,0.416667,2082,B
frame,0.458333,1336,B
frame,0.500000,9063,P
frame,0.541667,1485,B
frame,0.583333,1975,B
frame,0.625000,1155,B
frame,0.666667,7859,P
frame,0.708333,1150,B
frame,0.750000,1769,B
frame,0.791667,1037,B
frame,0.833333,5708,P
frame,0.875000,1170,B
frame,0.916667,1945,B
frame,0.958333,1172,B
frame,1.000000,4188,P
frame,1.041667,1562,B
frame,1.083333,4163,B
frame,1.125000,2812,B
frame,1.166667,10104,P
frame,1.208333,7531,B
frame,1.250000,11715,P
frame,1.291667,15958,P
frame,1.333333,14226,P
frame,1.375000,12552,P
frame,1.416667,11701,P
frame,1.458333,12329,P
frame,1.500000,4453,B
frame,1.541667,11875,P
frame,1.583333,2260,B
frame,1.625000,1883,B
frame,1.666667,897,B
frame,1.708333,11373,P
frame,1.750000,375,B
frame,1.791667,615,B
frame,1.833333,304,B
frame,1.875000,1754,P
frame,1.916667,363,B
frame,1.958333,247,B
frame,2.000000,850,P
frame,2.041667,184527,I
frame,2.083333,1378,B
frame,2.125000,2451,B
frame,2.166667,1655,B
frame,2.208333,9913,P
frame,2.250000,2286,B
frame,2.291667,3552,B
frame,2.333333,2254,B
frame,2.375000,12177,P
frame,2.416667,2554,B
frame,2.458333,3873,B
frame,2.500000,2544,B
frame,2.541667,14022,P
frame,2.583333,3028,B
frame,2.625000,4379,B
frame,2.666667,2910,B
frame,2.708333,17790,P
frame,2.750000,3183,B
frame,2.791667,4400,B
frame,2.833333,3154,B
frame,2.875000,18552,P
frame,2.916667,3216,B
frame,2.958333,4406,B
frame,3.000000,2880,B
frame,3.041667,15714,P
frame,3.083333,2746,B
frame,3.125000,3263,B
frame,3.166667,2227,B
frame,3.208333,13823,P
frame,3.250000,2559,B
frame,3.291667,4025,B
frame,3.333333,2744,B
frame,3.375000,5906,P
frame,3.416667,2495,B
frame,3.458333,2381,P
frame,3.500000,158839,I
frame,3.541667,4639,B
frame,3.583333,7820,B
frame,3.625000,4843,B
frame,3.666667,12960,P
frame,3.708333,4713,B
frame,3.750000,6779,B
frame,3.791667,4499,B
frame,3.833333,15871,P
frame,3.875000,4805,B
frame,3.916667,6606,B
frame,3.958333,4980,B
frame,4.000000,17152,P
frame,4.041667,6082,B
frame,4.083333,5776,B
frame,4.125000,14855,P
frame,4.166667,6603,B
frame,4.208333,8711,B
frame,4.250000,6248,B
frame,4.291667,21338,P
frame,4.333333,12770,P
frame,4.375000,16613,P
frame,4.416667,16221,P
frame,4.458333,6307,B
frame,4.500000,19103,P
frame,4.541667,6850,B
frame,4.583333,7762,B
frame,4.625000,4086,B
frame,4.666667,25793,P
frame,4.708333,3124,B
frame,4.750000,3659,B
frame,4.791667,1951,B
frame,4.833333,14761,P
frame,4.875000,1988,B
frame,4.916667,3204,B
frame,4.958333,1702,B
frame,5.000000,12760,P
frame,5.041667,2425,B
frame,5.083333,4798,B
frame,5.125000,3764,B
frame,5.166667,14060,P
frame,5.208333,3638,B
frame,5.250000,5380,B
frame,5.291667,3022,B
frame,5.333333,18262,P
frame,5.375000,1761,B
frame,5.416667,2349,B
frame,5.458333,1360,B
frame,5.500000,9853,P
frame,5.541667,1345,B
frame,5.583333,1922,B
frame,5.625000,1049,B
frame,5.666667,10080,P
frame,5.708333,990,B
frame,5.750000,1524,B
frame,5.791667,926,B
frame,5.833333,9595,P
frame,5.875000,1012,B
frame,5.916667,1612,B
frame,5.958333,962,B
frame,6.000000,9426,P
frame,6.041667,1452,B
frame,6.083333,2639,B
frame,6.125000,2386,B
frame,6.166667,12411,P
frame,6.208333,3572,B
frame,6.250000,6586,B
frame,6.291667,4803,B
frame,6.333333,17628,P
frame,6.375000,7286,B
frame,6.416667,7830,B
frame,6.458333,4330,B
frame,6.500000,23727,P
frame,6.541667,2732,B
frame,6.583333,4067,B
frame,6.625000,2105,B
frame,6.666667,16496,P
frame,6.708333,1894,B
frame,6.750000,3103,B
frame,6.791667,1564,B
frame,6.833333,17528,P
frame,6.875000,1627,B
frame,6.916667,2731,B
frame,6.958333,1499,B
frame,7.000000,12316,P
frame,7.041667,1580,B
frame,7.083333,2427,B
frame,7.125000,1531,B
frame,7.166667,10108,P
frame,7.208333,1556,B
frame,7.250000,2559,B
frame,7.291667,1341,B
