frame,pts_time,size,type
frame,0.000000,52756,I
frame,0.041667,1111,B
frame,0.083333,1587,B
frame,0.125000,981,B
frame,0.166667,6698,P
frame,0.208333,1187,B
frame,0.250000,1517,B
frame,0.291667,930,B
frame,0.333333,7063,P
frame,0.375000,1047,B
frame,0.416667,1451,B
frame,0.458333,924,B
frame,0.500000,6352,P
frame,0.541667,987,B
frame,0.583333,1423,B
frame,0.625000,785,B
frame,0.666667,5350,P
frame,0.708333,788,B
frame,0.750000,1217,B
frame,0.791667,677,B
frame,0.833333,3659,P
frame,0.875000,815,B
frame,0.916667,1477,B
frame,0.958333,715,B
frame,1.000000,2725,P
frame,1.041667,1417,B
frame,1.083333,3597,B
frame,1.125000,2399,B
frame,1.166667,8809,P
frame,1.208333,6475,B
frame,1.250000,11066,P
frame,1.291667,8357,B
frame,1.333333,18971,P
frame,1.375000,11225,P
frame,1.416667,10350,P
frame,1.458333,10982,P
frame,1.500000,4077,B
frame,1.541667,10759,P
frame,1.583333,2093,B
frame,1.625000,1677,B
frame,1.666667,761,B
frame,1.708333,9916,P
frame,1.750000,331,B
frame,1.791667,552,B
frame,1.833333,259,B
frame,1.875000,1550,P
frame,1.916667,317,B
frame,1.958333,204,B
frame,2.000000,693,P
frame,2.041667,286072,I
frame,2.083333,1647,B
frame,2.125000,2970,B
frame,2.166667,2046,B
frame,2.208333,13797,P
frame,2.250000,2688,B
frame,2.291667,4441,B
frame,2.333333,2762,B
frame,2.375000,18618,P
frame,2.416667,3064,B
frame,2.458333,5083,B
frame,2.500000,3181,B
frame,2.541667,21062,P
frame,2.583333,3645,B
frame,2.625000,5749,B
frame,2.666667,3788,B
frame,2.708333,24563,P
frame,2.750000,3846,B
frame,2.791667,5537,B
frame,2.833333,3810,B
frame,2.875000,25897,P
frame,2.916667,3897,B
frame,2.958333,5179,B
frame,3.000000,3256,B
frame,3.041667,22230,P
frame,3.083333,3259,B
frame,3.125000,4063,B
frame,3.166667,2684,B
frame,3.208333,17280,P
frame,3.250000,2887,B
frame,3.291667,4729,B
frame,3.333333,3279,B
frame,3.375000,8016,P
frame,3.416667,2994,B
frame,3.458333,3184,P
frame,3.500000,198447,I
frame,3.541667,5755,B
frame,3.583333,9617,B
frame,3.625000,5932,B
frame,3.666667,16804,P
frame,3.708333,5715,B
frame,3.750000,8223,B
frame,3.791667,5611,B
frame,3.833333,20909,P
frame,3.875000,5867,B
frame,3.916667,8040,B
frame,3.958333,6111,B
frame,4.000000,23139,P
frame,4.041667,7844,B
frame,4.083333,7343,B
frame,4.125000,21726,P
frame,4.166667,8235,B
frame,4.208333,11004,B
frame,4.250000,8070,B
frame,4.291667,31206,P
frame,4.333333,18582,P
frame,4.375000,8624,B
frame,4.416667,30970,P
frame,4.458333,8524,B
frame,4.500000,10310,B
frame,4.541667,7592,B
frame,4.583333,36509,P
frame,4.625000,7273,B
frame,4.666667,8034,B
frame,4.708333,4716,B
frame,4.750000,27527,P
frame,4.791667,3944,B
frame,4.833333,5311,B
frame,4.875000,2710,B
frame,4.916667,20274,P
frame,4.958333,2732,B
frame,5.000000,5602,B
frame,5.041667,3171,B
frame,5.083333,17758,P
frame,5.125000,5434,B
frame,5.166667,8562,B
frame,5.208333,5095,B
frame,5.250000,23470,P
frame,5.291667,4896,B
frame,5.333333,4990,B
frame,5.375000,2874,B
frame,5.416667,24444,P
frame,5.458333,2178,B
frame,5.500000,3560,B
frame,5.541667,2029,B
frame,5.583333,14643,P
frame,5.625000,1927,B
frame,5.666667,3000,B
frame,5.708333,1731,B
frame,5.750000,13971,P
frame,5.791667,1719,B
frame,5.833333,2763,B
frame,5.875000,1598,B
