frame,pts_time,size,type
frame,0.000000,265922,I
frame,0.041667,44696,B
frame,0.083333,63414,B
frame,0.125000,44696,B
frame,0.166667,163710,P
frame,0.208333,40458,B
frame,0.250000,60078,B
frame,0.291667,41038,B
frame,0.333333,141321,P
frame,0.375000,41133,B
frame,0.416667,63122,B
frame,0.458333,43473,B
frame,0.500000,127379,P
frame,0.541667,40604,B
frame,0.583333,53244,B
frame,0.625000,48219,B
frame,0.666667,129497,P
frame,0.708333,51271,B
frame,0.750000,55957,B
frame,0.791667,47580,B
frame,0.833333,143336,P
frame,0.875000,43212,B
frame,0.916667,62033,B
frame,0.958333,43383,B
frame,1.000000,119032,P
frame,1.041667,62046,B
frame,1.083333,68483,B
frame,1.125000,54720,B
frame,1.166667,142412,P
frame,1.208333,65274,B
frame,1.250000,78243,B
frame,1.291667,55877,B
frame,1.333333,125531,P
frame,1.375000,53115,B
frame,1.416667,79967,B
frame,1.458333,54674,B
frame,1.500000,125828,P
frame,1.541667,55630,B
frame,1.583333,65298,B
frame,1.625000,54100,B
frame,1.666667,140365,P
frame,1.708333,48174,B
frame,1.750000,58923,B
frame,1.791667,48191,B
frame,1.833333,115239,P
frame,1.875000,59102,B
frame,1.916667,64797,B
frame,1.958333,54754,B
frame,2.000000,100087,P
frame,2.041667,52667,B
frame,2.083333,65775,B
frame,2.125000,50104,B
frame,2.166667,116422,P
frame,2.208333,48374,B
frame,2.250000,62625,B
frame,2.291667,57808,B
frame,2.333333,99647,P
frame,2.375000,76717,B
frame,2.416667,57805,B
frame,2.458333,54673,B
frame,2.500000,103507,P
frame,2.541667,46440,B
frame,2.583333,70450,B
frame,2.625000,45450,B
frame,2.666667,87114,P
frame,2.708333,41927,B
frame,2.750000,54723,B
frame,2.791667,43872,B
frame,2.833333,87874,P
frame,2.875000,41827,B
frame,2.916667,54363,B
frame,2.958333,45044,B
frame,3.000000,80190,P
frame,3.041667,46753,B
frame,3.083333,52932,B
frame,3.125000,50957,B
frame,3.166667,68278,P
frame,3.208333,55836,B
frame,3.250000,52992,B
frame,3.291667,43853,B
frame,3.333333,74453,P
frame,3.375000,46896,B
frame,3.416667,53109,P
frame,3.458333,290341,I
frame,3.500000,63571,B
frame,3.541667,88849,B
frame,3.583333,64121,B
frame,3.625000,139015,P
frame,3.666667,61226,B
frame,3.708333,94571,B
frame,3.750000,61869,B
frame,3.791667,159123,P
frame,3.833333,58178,B
frame,3.875000,79265,B
frame,3.916667,62101,B
frame,3.958333,145857,P
frame,4.000000,78984,B
frame,4.041667,79264,B
frame,4.083333,57099,B
frame,4.125000,128853,P
frame,4.166667,80737,B
frame,4.208333,98329,B
frame,4.250000,63509,B
frame,4.291667,135894,P
frame,4.333333,77536,B
frame,4.375000,86416,B
frame,4.416667,65132,B
frame,4.458333,121192,P
frame,4.500000,66645,B
frame,4.541667,92153,B
frame,4.583333,78116,B
frame,4.625000,138450,P
frame,4.666667,68441,B
frame,4.708333,82971,B
frame,4.750000,73970,B
frame,4.791667,134541,P
frame,4.833333,61146,B
frame,4.875000,96516,B
frame,4.916667,64174,B
frame,4.958333,122339,P
frame,5.000000,61178,B
frame,5.041667,89707,B
frame,5.083333,61134,B
frame,5.125000,126328,P
frame,5.166667,60317,B
frame,5.208333,83706,B
frame,5.250000,66654,B
frame,5.291667,125655,P
frame,5.333333,62480,B
frame,5.375000,78638,B
frame,5.416667,59898,B
frame,5.458333,120921,P
frame,5.500000,62292,B
frame,5.541667,76408,B
frame,5.583333,59847,B
frame,5.625000,118580,P
frame,5.666667,66202,B
frame,5.708333,75309,B
frame,5.750000,57795,B
frame,5.791667,104670,P
frame,5.833333,54676,B
frame,5.875000,70667,B
frame,5.916667,61723,B
frame,5.958333,98999,P
frame,6.000000,55409,B
frame,6.041667,69927,B
frame,6.083333,58180,B
frame,6.125000,96270,P
frame,6.166667,55198,B
frame,6.208333,66289,B
frame,6.250000,55923,B
frame,6.291667,89627,P
frame,6.333333,54484,B
frame,6.375000,67222,B
frame,6.416667,52815,B
frame,6.458333,88805,P
frame,6.500000,55055,B
frame,6.541667,64147,B
frame,6.583333,58973,B
frame,6.625000,77247,P
frame,6.666667,48322,B
frame,6.708333,62837,B
frame,6.750000,57155,B
frame,6.791667,71988,P
frame,6.833333,52809,B
frame,6.875000,55699,B
frame,6.916667,54501,B
frame,6.958333,67596,P
frame,7.000000,103047,I
frame,7.041667,46821,B
frame,7.083333,59437,B
frame,7.125000,50598,B
frame,7.166667,69349,P
frame,7.208333,45215,B
frame,7.250000,57226,B
frame,7.291667,44056,B
frame,7.333333,56270,P
frame,7.375000,44458,B
frame,7.416667,46877,B
frame,7.458333,42854,B
frame,7.500000,64826,P
frame,7.541667,41702,B
frame,7.583333,47388,B
frame,7.625000,39548,B
frame,7.666667,62937,P
frame,7.708333,40061,B
frame,7.750000,41847,B
frame,7.791667,36080,B
frame,7.833333,54742,P
frame,7.875000,37532,B
frame,7.916667,43132,B
frame,7.958333,37026,B
frame,8.000000,49961,P
frame,8.041667,34243,B
frame,8.083333,41075,B
frame,8.125000,36630,B
frame,8.166667,43750,P
frame,8.208333,38357,P
frame,8.250000,41654,B
frame,8.291667,42647,P
frame,8.333333,62293,I
frame,8.375000,38190,P
frame,8.416667,311833,I
frame,8.458333,33561,B
frame,8.500000,40382,B
frame,8.541667,31821,B
frame,8.583333,136569,P
frame,8.625000,31447,B
frame,8.666667,35290,B
frame,8.708333,26972,B
frame,8.750000,96119,P
frame,8.791667,27569,B
frame,8.833333,35957,B
frame,8.875000,29445,B
frame,8.916667,91834,P
frame,8.958333,28255,B
frame,9.000000,30230,B
frame,9.041667,28806,B
frame,9.083333,110076,P
frame,9.125000,25297,B
frame,9.166667,30763,B
frame,9.208333,28654,B
frame,9.250000,96454,P
frame,9.291667,27597,B
frame,9.333333,33308,B
frame,9.375000,27642,B
frame,9.416667,98762,P
frame,9.458333,28408,B
frame,9.500000,31368,B
frame,9.541667,28477,B
frame,9.583333,95435,P
frame,9.625000,27900,B
frame,9.666667,33052,B
frame,9.708333,28214,B
frame,9.750000,99915,P
frame,9.791667,28118,B
frame,9.833333,33532,B
frame,9.875000,29388,B
frame,9.916667,98297,P
frame,9.958333,30110,B
frame,10.000000,31329,B
frame,10.041667,28211,B
frame,10.083333,96987,P
frame,10.125000,27321,B
frame,10.166667,32429,B
frame,10.208333,28974,B
frame,10.250000,95856,P
frame,10.291667,28038,B
frame,10.333333,34403,B
frame,10.375000,31187,B
frame,10.416667,95750,P
frame,10.458333,28904,B
frame,10.500000,34138,B
frame,10.541667,29097,B
frame,10.583333,97530,P
frame,10.625000,29762,B
frame,10.666667,34592,B
frame,10.708333,29348,B
frame,10.750000,100051,P
frame,10.791667,30434,B
frame,10.833333,34837,B
frame,10.875000,29235,B
frame,10.916667,96772,P
frame,10.958333,28914,B
frame,11.000000,35160,B
frame,11.041667,27705,B
frame,11.083333,101711,P
frame,11.125000,27537,B
frame,11.166667,34792,B
frame,11.208333,30277,B
frame,11.250000,100238,P
frame,11.291667,30406,B
frame,11.333333,34058,B
frame,11.375000,30096,B
frame,11.416667,99802,P
frame,11.458333,26159,B
frame,11.500000,35148,B
frame,11.541667,29016,B
frame,11.583333,100447,P
frame,11.625000,31408,B
frame,11.666667,35764,B
frame,11.708333,29265,B
frame,11.750000,99884,P
frame,11.791667,30149,B
frame,11.833333,36220,B
frame,11.875000,30827,B
frame,11.916667,100966,P
frame,11.958333,30500,B
frame,12.000000,34807,B
frame,12.041667,30039,B
frame,12.083333,99204,P
frame,12.125000,30162,B
frame,12.166667,36699,B
frame,12.208333,30599,B
frame,12.250000,97317,P
frame,12.291667,30512,B
frame,12.333333,35505,B
frame,12.375000,30116,B
frame,12.416667,104321,P
frame,12.458333,30623,B
frame,12.500000,34385,B
frame,12.541667,31166,B
frame,12.583333,97162,P
frame,12.625000,31258,B
frame,12.666667,36451,B
frame,12.708333,29428,B
frame,12.750000,97584,P
frame,12.791667,30347,B
frame,12.833333,35361,B
frame,12.875000,28568,B
frame,12.916667,95955,P
frame,12.958333,32277,B
frame,13.000000,35782,B
frame,13.041667,28959,B
frame,13.083333,98456,P
frame,13.125000,31059,B
frame,13.166667,32295,B
frame,13.208333,31792,B
frame,13.250000,97360,P
frame,13.291667,30077,B
frame,13.333333,35513,B
frame,13.375000,30124,B
frame,13.416667,97861,P
frame,13.458333,31165,B
frame,13.500000,36370,B
frame,13.541667,30866,B
frame,13.583333,91552,P
frame,13.625000,31277,B
frame,13.666667,37921,B
frame,13.708333,31980,B
frame,13.750000,96086,P
frame,13.791667,30796,B
frame,13.833333,35790,B
frame,13.875000,32601,B
frame,13.916667,91869,P
frame,13.958333,32088,B
frame,14.000000,38006,B
frame,14.041667,31603,B
frame,14.083333,94016,P
frame,14.125000,32861,B
frame,14.166667,35799,B
frame,14.208333,33635,B
frame,14.250000,86870,P
frame,14.291667,29488,B
frame,14.333333,38378,B
frame,14.375000,31654,B
frame,14.416667,84212,P
frame,14.458333,32497,B
frame,14.500000,39006,B
frame,14.541667,30256,B
frame,14.583333,82303,P
frame,14.625000,34552,B
frame,14.666667,37544,B
frame,14.708333,31968,B
frame,14.750000,71475,P
frame,14.791667,33881,B
frame,14.833333,41019,B
frame,14.875000,34628,B
frame,14.916667,55088,P
frame,14.958333,26185,P
frame,15.000000,338590,I
frame,15.041667,7399,B
frame,15.083333,14140,B
frame,15.125000,8304,B
frame,15.166667,81703,P
frame,15.208333,7427,B
frame,15.250000,13960,B
frame,15.291667,7288,B
frame,15.333333,78215,P
frame,15.375000,7477,B
frame,15.416667,15060,B
frame,15.458333,7759,B
frame,15.500000,80304,P
frame,15.541667,7407,B
frame,15.583333,14383,B
frame,15.625000,6595,B
frame,15.666667,78315,P
frame,15.708333,6128,B
frame,15.750000,14221,B
frame,15.791667,6916,B
frame,15.833333,70000,P
frame,15.875000,6839,B
frame,15.916667,13916,B
frame,15.958333,6032,B
frame,16.000000,71759,P
frame,16.041667,7068,B
frame,16.083333,13156,B
frame,16.125000,6240,B
frame,16.166667,72082,P
frame,16.208333,6425,B
frame,16.250000,12667,B
frame,16.291667,6111,B
frame,16.333333,69705,P
frame,16.375000,5703,B
frame,16.416667,12998,B
frame,16.458333,6714,B
frame,16.500000,65559,P
frame,16.541667,6796,B
frame,16.583333,14791,B
frame,16.625000,8635,B
frame,16.666667,80111,P
frame,16.708333,8747,B
frame,16.750000,17466,B
frame,16.791667,7865,B
frame,16.833333,85175,P
frame,16.875000,6901,B
frame,16.916667,14787,B
frame,16.958333,7294,B
frame,17.000000,77790,P
frame,17.041667,7160,B
frame,17.083333,15939,B
frame,17.125000,7700,B
frame,17.166667,80780,P
frame,17.208333,7908,B
frame,17.250000,14796,B
frame,17.291667,6473,B
frame,17.333333,77093,P
frame,17.375000,7923,B
frame,17.416667,14073,B
frame,17.458333,7283,B
frame,17.500000,77281,P
frame,17.541667,8075,B
frame,17.583333,16766,B
frame,17.625000,8918,B
frame,17.666667,81098,P
frame,17.708333,7944,B
