frame,pts_time,size,type
frame,0.000000,284958,I
frame,0.041667,15197,B
frame,0.083333,23680,B
frame,0.125000,14350,B
frame,0.166667,101833,P
frame,0.208333,13913,B
frame,0.250000,20049,B
frame,0.291667,13299,B
frame,0.333333,90385,P
frame,0.375000,13034,B
frame,0.416667,19999,B
frame,0.458333,12420,B
frame,0.500000,98930,P
frame,0.541667,12583,B
frame,0.583333,19339,B
frame,0.625000,12127,B
frame,0.666667,85265,P
frame,0.708333,12198,B
frame,0.750000,19829,B
frame,0.791667,12802,B
frame,0.833333,82300,P
frame,0.875000,12351,B
frame,0.916667,18335,B
frame,0.958333,12405,B
frame,1.000000,89795,P
frame,1.041667,15058,B
frame,1.083333,31003,B
frame,1.125000,26975,B
frame,1.166667,198257,P
frame,1.208333,33474,B
frame,1.250000,52370,B
frame,1.291667,30002,B
frame,1.333333,151082,P
frame,1.375000,23749,B
frame,1.416667,40291,B
frame,1.458333,23418,B
frame,1.500000,111765,P
frame,1.541667,22602,B
frame,1.583333,35250,B
frame,1.625000,19261,B
frame,1.666667,106758,P
frame,1.708333,15441,B
frame,1.750000,21306,B
frame,1.791667,11717,B
frame,1.833333,78222,P
frame,1.875000,10408,B
frame,1.916667,18214,B
frame,1.958333,11090,B
frame,2.000000,52590,P
frame,2.041667,12025,B
frame,2.083333,18898,B
frame,2.125000,10339,B
frame,2.166667,77055,P
frame,2.208333,8162,B
frame,2.250000,12009,B
frame,2.291667,7255,B
frame,2.333333,72702,P
frame,2.375000,7274,B
frame,2.416667,11029,B
frame,2.458333,6113,B
frame,2.500000,63796,P
frame,2.541667,6409,B
frame,2.583333,9604,B
frame,2.625000,6257,B
frame,2.666667,56311,P
frame,2.708333,6716,B
frame,2.750000,10420,B
frame,2.791667,6601,B
frame,2.833333,56444,P
frame,2.875000,7880,B
frame,2.916667,13901,B
frame,2.958333,8148,B
frame,3.000000,60615,P
frame,3.041667,8517,B
frame,3.083333,15618,B
frame,3.125000,9062,B
frame,3.166667,60495,P
frame,3.208333,8959,B
frame,3.250000,18640,B
frame,3.291667,11756,B
frame,3.333333,57799,P
frame,3.375000,11775,B
frame,3.416667,23656,B
frame,3.458333,12985,B
frame,3.500000,66569,P
frame,3.541667,13715,B
frame,3.583333,26037,B
frame,3.625000,13102,B
frame,3.666667,75338,P
frame,3.708333,15363,B
frame,3.750000,22547,B
frame,3.791667,12218,B
frame,3.833333,82485,P
frame,3.875000,10241,B
frame,3.916667,17978,B
frame,3.958333,9993,B
frame,4.000000,80386,P
frame,4.041667,9008,B
frame,4.083333,14653,B
frame,4.125000,8667,B
frame,4.166667,67860,P
frame,4.208333,9905,B
frame,4.250000,16875,B
frame,4.291667,10415,B
frame,4.333333,77628,P
frame,4.375000,11893,B
frame,4.416667,19134,B
frame,4.458333,10794,B
frame,4.500000,93391,P
frame,4.541667,10713,B
frame,4.583333,15720,B
frame,4.625000,9743,B
frame,4.666667,83506,P
frame,4.708333,10311,B
frame,4.750000,15318,B
frame,4.791667,9670,B
frame,4.833333,80977,P
frame,4.875000,9937,B
frame,4.916667,15064,B
frame,4.958333,9865,B
frame,5.000000,85915,P
frame,5.041667,10420,B
frame,5.083333,15445,B
frame,5.125000,10067,B
frame,5.166667,83757,P
frame,5.208333,10220,B
frame,5.250000,15042,B
frame,5.291667,9806,B
frame,5.333333,77691,P
frame,5.375000,10205,B
frame,5.416667,16280,B
frame,5.458333,10654,B
frame,5.500000,77457,P
frame,5.541667,11291,B
frame,5.583333,18835,B
frame,5.625000,12076,B
frame,5.666667,91479,P
frame,5.708333,12128,B
frame,5.750000,18249,B
