frame,pts_time,size,type
frame,0.000000,292947,I
frame,0.041667,16230,B
frame,0.083333,25173,B
frame,0.125000,15073,B
frame,0.166667,107702,P
frame,0.208333,14488,B
frame,0.250000,21109,B
frame,0.291667,13799,B
frame,0.333333,95266,P
frame,0.375000,13774,B
frame,0.416667,20831,B
frame,0.458333,13377,B
frame,0.500000,103540,P
frame,0.541667,12006,B
frame,0.583333,18074,B
frame,0.625000,11582,B
frame,0.666667,78197,P
frame,0.708333,11714,B
frame,0.750000,18460,B
frame,0.791667,11987,B
frame,0.833333,85530,P
frame,0.875000,12824,B
frame,0.916667,18744,B
frame,0.958333,12587,B
frame,1.000000,90671,P
frame,1.041667,10770,B
frame,1.083333,15614,B
frame,1.125000,9862,B
frame,1.166667,82420,P
frame,1.208333,8981,B
frame,1.250000,13851,B
frame,1.291667,8855,B
frame,1.333333,74518,P
frame,1.375000,8694,B
frame,1.416667,14912,B
frame,1.458333,10548,B
frame,1.500000,63964,P
frame,1.541667,12808,B
frame,1.583333,22431,B
frame,1.625000,13088,B
frame,1.666667,89289,P
frame,1.708333,12730,B
frame,1.750000,17528,B
frame,1.791667,9854,B
frame,1.833333,78563,P
frame,1.875000,10274,B
frame,1.916667,18960,B
frame,1.958333,11746,B
frame,2.000000,64773,P
frame,2.041667,13808,B
frame,2.083333,22114,B
frame,2.125000,12196,B
frame,2.166667,97104,P
frame,2.208333,10303,B
frame,2.250000,15459,B
frame,2.291667,9402,B
frame,2.333333,92700,P
frame,2.375000,9902,B
frame,2.416667,15017,B
frame,2.458333,8583,B
frame,2.500000,88948,P
frame,2.541667,8932,B
frame,2.583333,13240,B
frame,2.625000,8937,B
frame,2.666667,79090,P
frame,2.708333,9442,B
frame,2.750000,14465,B
frame,2.791667,9334,B
frame,2.833333,77412,P
frame,2.875000,11093,B
frame,2.916667,18709,B
frame,2.958333,11463,B
frame,3.000000,81085,P
frame,3.041667,11421,B
frame,3.083333,20107,B
frame,3.125000,12041,B
frame,3.166667,76846,P
frame,3.208333,11822,B
frame,3.250000,23645,B
frame,3.291667,15327,B
frame,3.333333,73523,P
frame,3.375000,14702,B
frame,3.416667,28637,B
frame,3.458333,16088,B
frame,3.500000,81440,P
frame,3.541667,16573,B
frame,3.583333,30714,B
frame,3.625000,16040,B
frame,3.666667,89079,P
frame,3.708333,18660,B
frame,3.750000,26546,B
frame,3.791667,15083,B
frame,3.833333,95092,P
frame,3.875000,12589,B
frame,3.916667,21920,B
frame,3.958333,11998,B
frame,4.000000,92237,P
frame,4.041667,10632,B
frame,4.083333,17800,B
frame,4.125000,10476,B
frame,4.166667,77838,P
frame,4.208333,11640,B
frame,4.250000,19552,B
frame,4.291667,11956,B
frame,4.333333,87609,P
frame,4.375000,13578,B
frame,4.416667,21612,B
frame,4.458333,12061,B
frame,4.500000,103804,P
frame,4.541667,11400,B
frame,4.583333,17009,B
frame,4.625000,10350,B
frame,4.666667,81294,P
frame,4.708333,10870,B
frame,4.750000,15339,B
frame,4.791667,10088,B
frame,4.833333,89782,P
frame,4.875000,11559,B
frame,4.916667,16961,B
frame,4.958333,11399,B
frame,5.000000,94805,P
frame,5.041667,10790,B
frame,5.083333,15379,B
frame,5.125000,10334,B
frame,5.166667,81535,P
frame,5.208333,10584,B
frame,5.250000,14848,B
frame,5.291667,10157,B
frame,5.333333,88589,P
frame,5.375000,12025,B
frame,5.416667,18389,B
frame,5.458333,12469,B
frame,5.500000,87734,P
frame,5.541667,13047,B
frame,5.583333,20992,B
frame,5.625000,14088,B
frame,5.666667,102468,P
frame,5.708333,14202,B
frame,5.750000,20848,B
frame,5.791667,13366,B
frame,5.833333,113068,P
frame,5.875000,13328,B
frame,5.916667,18969,B
frame,5.958333,12923,B
frame,6.000000,100996,P
frame,6.041667,12857,B
frame,6.083333,18599,B
frame,6.125000,12682,B
frame,6.166667,100465,P
frame,6.208333,12691,B
frame,6.250000,17819,B
frame,6.291667,12436,B
frame,6.333333,97092,P
frame,6.375000,11645,B
frame,6.416667,16510,B
frame,6.458333,11364,B
frame,6.500000,87826,P
frame,6.541667,11929,B
frame,6.583333,17047,B
frame,6.625000,11955,B
frame,6.666667,83783,P
frame,6.708333,11602,B
frame,6.750000,17924,B
frame,6.791667,12763,B
frame,6.833333,82481,P
frame,6.875000,13364,B
frame,6.916667,22246,B
frame,6.958333,15132,B
frame,7.000000,96468,P
frame,7.041667,14706,B
frame,7.083333,22494,B
frame,7.125000,13336,B
frame,7.166667,102685,P
frame,7.208333,13066,B
frame,7.250000,21714,B
frame,7.291667,14583,B
frame,7.333333,96673,P
frame,7.375000,13887,B
frame,7.416667,20870,B
frame,7.458333,13093,B
