frame,pts_time,size,type
frame,0.000000,35454,I
frame,0.041667,1539,B
frame,0.083333,2092,B
frame,0.125000,1064,B
frame,0.166667,6443,P
frame,0.208333,1424,B
frame,0.250000,1853,B
frame,0.291667,1127,B
frame,0.333333,5647,P
frame,0.375000,1332,B
frame,0.416667,2044,B
frame,0.458333,1112,B
frame,0.500000,5581,P
frame,0.541667,870,B
frame,0.583333,1144,B
frame,0.625000,463,B
frame,0.666667,1605,P
frame,0.708333,497,B
frame,0.750000,874,B
frame,0.791667,486,B
frame,0.833333,3004,P
frame,0.875000,706,B
frame,0.916667,1123,B
frame,0.958333,790,B
frame,1.000000,5573,P
frame,1.041667,804,B
frame,1.083333,1178,B
frame,1.125000,769,B
frame,1.166667,7122,P
frame,1.208333,893,B
frame,1.250000,1504,B
frame,1.291667,988,B
frame,1.333333,7140,P
frame,1.375000,1151,B
frame,1.416667,2266,B
frame,1.458333,1406,B
frame,1.500000,6823,P
frame,1.541667,1984,B
frame,1.583333,3377,B
frame,1.625000,1881,B
frame,1.666667,10884,P
frame,1.708333,1795,B
frame,1.750000,2204,B
frame,1.791667,1362,B
frame,1.833333,7900,P
frame,1.875000,1655,B
frame,1.916667,3060,B
frame,1.958333,1990,B
frame,2.000000,7475,P
frame,2.041667,2473,B
frame,2.083333,3570,B
frame,2.125000,1840,B
frame,2.166667,12933,P
frame,2.208333,1886,B
frame,2.250000,2457,B
frame,2.291667,1380,B
frame,2.333333,10763,P
frame,2.375000,1591,B
frame,2.416667,2041,B
frame,2.458333,1223,B
frame,2.500000,8409,P
frame,2.541667,1524,B
frame,2.583333,2224,B
frame,2.625000,1338,B
frame,2.666667,6639,P
frame,2.708333,1626,B
frame,2.750000,2258,B
frame,2.791667,1337,B
frame,2.833333,6594,P
frame,2.875000,1732,B
frame,2.916667,2604,B
frame,2.958333,1526,B
frame,3.000000,7605,P
frame,3.041667,1761,B
frame,3.083333,2975,B
frame,3.125000,1551,B
frame,3.166667,7556,P
frame,3.208333,1729,B
frame,3.250000,3522,B
frame,3.291667,2115,B
frame,3.333333,7182,P
frame,3.375000,2319,B
frame,3.416667,4466,B
frame,3.458333,2503,B
frame,3.500000,9078,P
frame,3.541667,2720,B
frame,3.583333,4341,B
frame,3.625000,2259,B
frame,3.666667,11137,P
frame,3.708333,2802,B
frame,3.750000,3862,B
frame,3.791667,2112,B
frame,3.833333,11024,P
frame,3.875000,1558,B
frame,3.916667,2557,B
frame,3.958333,1378,B
frame,4.000000,8554,P
frame,4.041667,1128,B
frame,4.083333,1933,B
frame,4.125000,1300,B
frame,4.166667,4911,P
frame,4.208333,1461,B
frame,4.250000,2219,B
frame,4.291667,1466,B
frame,4.333333,7045,P
frame,4.375000,1931,B
frame,4.416667,2479,B
frame,4.458333,1441,B
frame,4.500000,9017,P
frame,4.541667,1510,B
frame,4.583333,2085,B
frame,4.625000,1242,B
frame,4.666667,7560,P
frame,4.708333,1474,B
frame,4.750000,1910,B
frame,4.791667,1212,B
frame,4.833333,7534,P
frame,4.875000,1481,B
frame,4.916667,1956,B
frame,4.958333,1262,B
frame,5.000000,7613,P
frame,5.041667,1445,B
frame,5.083333,2167,B
frame,5.125000,1265,B
frame,5.166667,7046,P
frame,5.208333,1232,B
frame,5.250000,1662,B
frame,5.291667,1253,B
frame,5.333333,5715,P
frame,5.375000,1435,B
frame,5.416667,2189,B
frame,5.458333,1264,B
frame,5.500000,6130,P
frame,5.541667,1694,B
frame,5.583333,2737,B
frame,5.625000,1668,B
frame,5.666667,9170,P
frame,5.708333,1982,B
frame,5.750000,2733,B
frame,5.791667,1444,B
frame,5.833333,10540,P
frame,5.875000,1919,B
frame,5.916667,2452,B
frame,5.958333,1514,B
frame,6.000000,7977,P
frame,6.041667,1857,B
frame,6.083333,2474,B
frame,6.125000,1551,B
frame,6.166667,7805,P
frame,6.208333,1904,B
frame,6.250000,2391,B
frame,6.291667,1566,B
frame,6.333333,6900,P
frame,6.375000,1267,B
frame,6.416667,2008,B
frame,6.458333,1117,B
frame,6.500000,5383,P
frame,6.541667,1512,B
frame,6.583333,2179,B
frame,6.625000,1310,B
frame,6.666667,5585,P
frame,6.708333,1631,B
frame,6.750000,2501,B
frame,6.791667,1553,B
frame,6.833333,6125,P
frame,6.875000,1967,B
frame,6.916667,3354,B
frame,6.958333,2146,B
frame,7.000000,9551,P
frame,7.041667,2381,B
frame,7.083333,3144,B
frame,7.125000,1606,B
frame,7.166667,10582,P
frame,7.208333,1887,B
frame,7.250000,3427,B
frame,7.291667,1867,B
frame,7.333333,9723,P
frame,7.375000,2094,B
frame,7.416667,3205,B
frame,7.458333,1745,B
frame,7.500000,8859,P
frame,7.541667,1645,B
frame,7.583333,2215,B
frame,7.625000,1306,B
frame,7.666667,7654,P
frame,7.708333,1827,B
frame,7.750000,2238,B
frame,7.791667,1424,B
frame,7.833333,7763,P
frame,7.875000,1871,B
frame,7.916667,2352,B
frame,7.958333,1279,B
frame,8.000000,7938,P
frame,8.041667,1757,B
frame,8.083333,2199,B
frame,8.125000,1385,B
frame,8.166667,8561,P
frame,8.208333,1732,B
frame,8.250000,2385,B
frame,8.291667,1521,B
frame,8.333333,7877,P
frame,8.375000,1578,B
frame,8.416667,2200,B
frame,8.458333,1455,B
frame,8.500000,7268,P
frame,8.541667,1764,B
frame,8.583333,2281,B
frame,8.625000,1387,B
frame,8.666667,7734,P
frame,8.708333,1547,B
frame,8.750000,2406,B
frame,8.791667,1468,B
frame,8.833333,6390,P
frame,8.875000,1515,B
frame,8.916667,2199,B
frame,8.958333,1343,B
frame,9.000000,6979,P
frame,9.041667,1629,B
frame,9.083333,2466,B
frame,9.125000,1562,B
frame,9.166667,6947,P
frame,9.208333,1662,B
frame,9.250000,3034,B
frame,9.291667,1896,B
frame,9.333333,7444,P
frame,9.375000,2728,B
frame,9.416667,4796,B
frame,9.458333,3267,B
frame,9.500000,12349,P
frame,9.541667,3887,B
frame,9.583333,6566,B
frame,9.625000,3741,B
frame,9.666667,16955,P
frame,9.708333,3826,B
frame,9.750000,6265,B
frame,9.791667,3172,B
frame,9.833333,16724,P
frame,9.875000,3020,B
frame,9.916667,4568,B
frame,9.958333,2503,B
frame,10.000000,14169,P
frame,10.041667,2554,B
frame,10.083333,3883,B
frame,10.125000,2107,B
frame,10.166667,11890,P
frame,10.208333,2322,B
frame,10.250000,2911,B
frame,10.291667,1673,B
frame,10.333333,11101,P
frame,10.375000,1415,P
frame,10.416667,66064,I
frame,10.458333,1178,B
frame,10.500000,1689,B
frame,10.541667,1135,B
frame,10.583333,4735,P
frame,10.625000,1071,B
frame,10.666667,2209,B
frame,10.708333,1286,B
frame,10.750000,7128,P
frame,10.791667,1429,B
frame,10.833333,2264,B
frame,10.875000,1379,B
frame,10.916667,7895,P
frame,10.958333,1606,B
frame,11.000000,2665,B
frame,11.041667,1592,B
frame,11.083333,9171,P
frame,11.125000,1781,B
frame,11.166667,2796,B
frame,11.208333,1544,B
frame,11.250000,10820,P
frame,11.291667,1542,B
frame,11.333333,2304,B
frame,11.375000,1391,B
frame,11.416667,8807,P
frame,11.458333,1722,B
frame,11.500000,2335,B
frame,11.541667,1408,B
frame,11.583333,6773,P
frame,11.625000,1723,B
frame,11.666667,2739,B
frame,11.708333,1704,B
frame,11.750000,6872,P
frame,11.791667,1819,B
frame,11.833333,2901,B
frame,11.875000,1569,B
frame,11.916667,8169,P
frame,11.958333,1917,B
frame,12.000000,3048,B
frame,12.041667,1683,B
frame,12.083333,9390,P
frame,12.125000,2049,B
frame,12.166667,3765,B
frame,12.208333,2168,B
frame,12.250000,11203,P
frame,12.291667,2709,B
frame,12.333333,4537,B
frame,12.375000,2600,B
frame,12.416667,13421,P
frame,12.458333,2872,B
frame,12.500000,4525,B
frame,12.541667,2759,B
frame,12.583333,14320,P
frame,12.625000,2900,B
frame,12.666667,4695,B
frame,12.708333,3017,B
frame,12.750000,13238,P
frame,12.791667,2923,B
frame,12.833333,4323,B
frame,12.875000,2513,B
frame,12.916667,12603,P
frame,12.958333,2522,B
frame,13.000000,3524,B
frame,13.041667,1939,B
frame,13.083333,8906,P
frame,13.125000,2092,B
frame,13.166667,3562,B
frame,13.208333,1995,B
frame,13.250000,7914,P
frame,13.291667,2730,B
frame,13.333333,2409,B
frame,13.375000,5114,P
frame,13.416667,77424,I
frame,13.458333,1521,B
frame,13.500000,2432,B
frame,13.541667,1513,B
frame,13.583333,6293,P
frame,13.625000,1496,B
frame,13.666667,2702,B
frame,13.708333,1503,B
frame,13.750000,8485,P
frame,13.791667,1362,B
frame,13.833333,2352,B
frame,13.875000,1238,B
frame,13.916667,11432,P
frame,13.958333,1317,B
frame,14.000000,2209,B
frame,14.041667,1335,B
frame,14.083333,13985,P
frame,14.125000,1717,B
frame,14.166667,2749,B
frame,14.208333,2185,B
frame,14.250000,17321,P
frame,14.291667,1941,B
frame,14.333333,2798,B
frame,14.375000,1803,B
frame,14.416667,10585,P
frame,14.458333,1506,B
frame,14.500000,2384,B
frame,14.541667,1394,B
frame,14.583333,8965,P
frame,14.625000,1336,B
frame,14.666667,2150,B
frame,14.708333,1178,B
frame,14.750000,9128,P
