frame,pts_time,size,type
frame,0.000000,28566,I
frame,0.041667,1172,B
frame,0.083333,1527,B
frame,0.125000,883,B
frame,0.166667,4177,P
frame,0.208333,966,B
frame,0.250000,1273,B
frame,0.291667,916,B
frame,0.333333,3955,P
frame,0.375000,995,B
frame,0.416667,1564,B
frame,0.458333,913,B
frame,0.500000,4196,P
frame,0.541667,683,B
frame,0.583333,1113,B
frame,0.625000,554,B
frame,0.666667,2995,P
frame,0.708333,740,B
frame,0.750000,1095,B
frame,0.791667,626,B
frame,0.833333,4934,P
frame,0.875000,984,B
frame,0.916667,1374,B
frame,0.958333,816,B
frame,1.000000,5726,P
frame,1.041667,880,B
frame,1.083333,1161,B
frame,1.125000,685,B
frame,1.166667,6154,P
frame,1.208333,914,B
frame,1.250000,1279,B
frame,1.291667,840,B
frame,1.333333,6220,P
frame,1.375000,1046,B
frame,1.416667,2023,B
frame,1.458333,1031,B
frame,1.500000,6551,P
frame,1.541667,1965,B
frame,1.583333,2946,B
frame,1.625000,1621,B
frame,1.666667,9891,P
frame,1.708333,1789,B
frame,1.750000,2135,B
frame,1.791667,1309,B
frame,1.833333,8458,P
frame,1.875000,1578,B
frame,1.916667,2866,B
frame,1.958333,1828,B
frame,2.000000,6662,P
frame,2.041667,2316,B
frame,2.083333,3289,B
frame,2.125000,1687,B
frame,2.166667,13039,P
frame,2.208333,1769,B
frame,2.250000,2398,B
frame,2.291667,1394,B
frame,2.333333,10434,P
frame,2.375000,1438,B
frame,2.416667,1882,B
frame,2.458333,1123,B
frame,2.500000,7493,P
frame,2.541667,1351,B
frame,2.583333,1964,B
frame,2.625000,1193,B
frame,2.666667,6617,P
frame,2.708333,1601,B
frame,2.750000,2004,B
frame,2.791667,1154,B
frame,2.833333,6239,P
frame,2.875000,1722,B
frame,2.916667,2491,B
frame,2.958333,1462,B
frame,3.000000,6842,P
frame,3.041667,1684,B
frame,3.083333,2757,B
frame,3.125000,1396,B
frame,3.166667,6827,P
