frame,pts_time,size,type
frame,0.000000,52508,I
frame,0.041667,1922,B
frame,0.083333,2726,B
frame,0.125000,1394,B
frame,0.166667,8811,P
frame,0.208333,1680,B
frame,0.250000,2318,B
frame,0.291667,1391,B
frame,0.333333,7909,P
frame,0.375000,1710,B
frame,0.416667,2362,B
frame,0.458333,1421,B
frame,0.500000,8190,P
frame,0.541667,1355,B
frame,0.583333,1772,B
frame,0.625000,1129,B
frame,0.666667,11277,P
frame,0.708333,1711,B
frame,0.750000,2462,B
frame,0.791667,1392,B
frame,0.833333,15226,P
frame,0.875000,2086,B
frame,0.916667,3408,B
frame,0.958333,1757,B
frame,1.000000,14483,P
frame,1.041667,1885,B
frame,1.083333,2947,B
frame,1.125000,1558,B
frame,1.166667,14600,P
frame,1.208333,1684,B
frame,1.250000,2648,B
frame,1.291667,1516,B
frame,1.333333,13741,P
frame,1.375000,1837,B
frame,1.416667,3495,B
frame,1.458333,2165,B
frame,1.500000,12141,P
frame,1.541667,3319,B
frame,1.583333,5475,B
frame,1.625000,3138,B
frame,1.666667,19724,P
frame,1.708333,2962,B
frame,1.750000,3835,B
frame,1.791667,2159,B
frame,1.833333,14506,P
frame,1.875000,2546,B
frame,1.916667,4758,B
frame,1.958333,2992,B
frame,2.000000,11862,P
frame,2.041667,3730,B
frame,2.083333,5832,B
frame,2.125000,2961,B
frame,2.166667,22525,P
frame,2.208333,2751,B
frame,2.250000,3791,B
frame,2.291667,1950,B
frame,2.333333,18557,P
frame,2.375000,2427,B
frame,2.416667,3224,B
frame,2.458333,1721,B
frame,2.500000,15148,P
frame,2.541667,2122,B
frame,2.583333,3021,B
frame,2.625000,1867,B
frame,2.666667,11934,P
frame,2.708333,2164,B
frame,2.750000,3143,B
frame,2.791667,1941,B
frame,2.833333,11283,P
frame,2.875000,2461,B
frame,2.916667,3902,B
frame,2.958333,2398,B
frame,3.000000,12494,P
frame,3.041667,2566,B
frame,3.083333,4350,B
frame,3.125000,2340,B
frame,3.166667,12182,P
frame,3.208333,2448,B
frame,3.250000,5258,B
frame,3.291667,3170,B
frame,3.333333,11391,P
frame,3.375000,3248,B
frame,3.416667,6548,B
frame,3.458333,3611,B
frame,3.500000,14230,P
frame,3.541667,3651,B
frame,3.583333,6336,B
