frame,pts_time,size,type
frame,0.000000,75434,I
frame,0.041667,3589,B
frame,0.083333,5346,B
frame,0.125000,2998,B
frame,0.166667,14122,P
frame,0.208333,3296,B
frame,0.250000,4848,B
frame,0.291667,3066,B
frame,0.333333,12606,P
frame,0.375000,3296,B
frame,0.416667,4831,B
frame,0.458333,2919,B
frame,0.500000,15258,P
frame,0.541667,3039,B
frame,0.583333,4637,B
frame,0.625000,2721,B
frame,0.666667,13248,P
frame,0.708333,2999,B
frame,0.750000,5069,B
frame,0.791667,2856,B
frame,0.833333,13505,P
frame,0.875000,3205,B
frame,0.916667,5127,B
frame,0.958333,2870,B
frame,1.000000,15107,P
frame,1.041667,2735,B
frame,1.083333,4201,B
frame,1.125000,2195,B
frame,1.166667,15587,P
frame,1.208333,2387,B
frame,1.250000,3937,B
frame,1.291667,2310,B
frame,1.333333,15623,P
frame,1.375000,2552,B
frame,1.416667,4944,B
frame,1.458333,3212,B
frame,1.500000,14799,P
frame,1.541667,5022,B
frame,1.583333,8523,B
frame,1.625000,4830,B
frame,1.666667,22906,P
frame,1.708333,4848,B
frame,1.750000,6332,B
frame,1.791667,3511,B
frame,1.833333,18660,P
frame,1.875000,3655,B
frame,1.916667,6922,B
frame,1.958333,4343,B
frame,2.000000,14854,P
frame,2.041667,5558,B
frame,2.083333,8740,B
frame,2.125000,4758,B
frame,2.166667,24698,P
frame,2.208333,3986,B
frame,2.250000,5981,B
frame,2.291667,3210,B
frame,2.333333,18525,P
frame,2.375000,3478,B
frame,2.416667,4968,B
frame,2.458333,2657,B
frame,2.500000,14836,P
frame,2.541667,2934,B
frame,2.583333,4564,B
frame,2.625000,2733,B
frame,2.666667,12095,P
frame,2.708333,3167,B
frame,2.750000,4672,B
frame,2.791667,2815,B
frame,2.833333,13047,P
frame,2.875000,3534,B
frame,2.916667,5917,B
frame,2.958333,3482,B
frame,3.000000,15443,P
frame,3.041667,3884,B
frame,3.083333,7076,B
frame,3.125000,3761,B
frame,3.166667,15790,P
frame,3.208333,3655,B
frame,3.250000,7793,B
frame,3.291667,4840,B
frame,3.333333,15354,P
frame,3.375000,5120,B
frame,3.416667,10328,B
frame,3.458333,5644,B
frame,3.500000,18125,P
frame,3.541667,5764,B
frame,3.583333,10517,B
frame,3.625000,5440,B
frame,3.666667,20851,P
frame,3.708333,6396,B
frame,3.750000,8902,B
frame,3.791667,4493,B
